,ALCOHOL_BARS,CHARITY,DEBT_COLLECTION_AGENCY,DEBT_CREDIT_CARD_BILL,DEBT_LOAN_BNPL,DEBT_LOAN_EDUCATION,DEBT_LOAN_HOME,DEBT_LOAN_PERSONAL,DEBT_LOAN_VEHICLE,DIGITAL_GOODS_GAMING,DINING,EDUCATION,ENTERTAINMENT,FEES,FUEL,GIFTS_OCCASIONS,GOVT_FEES_PENALTIES,GOVT_TAXES_DIRECT,GOVT_TAXES_INDIRECT,GROCERIES,HEALTH,HOBBIES_SPORTS,HOME_IMPROVEMENT,HOME_SERVICES,HOUSING_MAINTENANCE,HOUSING_RENT,INCOME_BUSINESS_SELF_EMPLOYED,INCOME_GOVT_BENEFIT,INCOME_INVESTMENT,INCOME_REFUNDS,INCOME_SALARY,INSURANCE_PREMIUM_HEALTH,INSURANCE_PREMIUM_LIFE,INSURANCE_PREMIUM_MOTOR,INVEST_GOLD_SILVER,INVEST_MF_SIP,INVEST_RETIREMENT,INVEST_STOCK_BROKERAGE,KIDS_BABY,MOBILITY,PERSONAL_CARE_BEAUTY,PETS,SHOPPING_ECOM,SHOPPING_ELECTRONICS,SUBSCRIPTIONS,TRANSFER_CASH_WITHDRAWAL,TRANSFER_FOREX,TRANSFER_P2P_FAMILY_FRIENDS,TRANSFER_SELF_INTERNAL,TRAVEL,UTILITIES_POWER,UTILITIES_TELECOM,UTILITIES_WATER_GAS
HEALTH,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
HOBBIES_SPORTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
HOME_IMPROVEMENT,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1108,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
HOME_SERVICES,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1648,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
HOUSING_MAINTENANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1717,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
HOUSING_RENT,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1678,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
INCOME_BUSINESS_SELF_EMPLOYED,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,566,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INCOME_GOVT_BENEFIT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1677,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
INCOME_INVESTMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,596,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
INCOME_REFUNDS,6,3,9,1,4,8,1,2,3,5,54,2,2,173,11,3,6,6,6,55,6,2,0,6,5,4,0,0,0,799,1,4,2,3,5,3,0,5,3,41,7,1,757,0,1,3,2,5,1,3,4,14,0
